Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn,
KHARIF,HORTICULTURE,Fruits,Sapota,Fertilizer Use and Availability,top dressing for sapota,apply FYM 25kg+urea500gm+SSP500gm+potash750gm/tree once in 6month,TAMILNADU,TIRUNELVELI,PALAYANKOTTAL,2013-02-28T14:08:00,
RABI,AGRICULTURE,Others,Others,Weather,Asking about Weather report for Tirupur,Recommended for today have light rainfall.,TAMILNADU,TIRUPUR,Avanashi,2017-12-01T06:29:43.82,
RABI,AGRICULTURE,Others,Others,Weather,Asking about Thiruppur district rainfall information,Recommended for having moderate rain today,TAMILNADU,TIRUPUR,Dharapuram,2017-12-01T07:28:52.01,
RABI,AGRICULTURE,Others,Others,Weather,Asking about Weather report for Tirupur,Recommended for today have light rainfall.,TAMILNADU,TIRUPUR,Dharapuram,2017-12-01T07:30:06.497,
RABI,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Market Information,Asking about Market rate for Ground nut,Recommended for sevur Rs 4580-4680/quintal.,TAMILNADU,TIRUPUR,Vellakoil,2017-12-01T08:00:13.32,
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather detail in tirupur,recommended for have moderate rain in tirupur,TAMILNADU,TIRUPUR,Avanashi,2017-12-01T08:23:03.597,
RABI,HORTICULTURE,Fruits,Mango,Plant Protection,Asking about Grey Blight in mango,Recommended for spray copper oxy chloride 2.5 g/lit of water,TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-01T10:35:56.98,
RABI,AGRICULTURE,Others,Others,Weather,Asking district Thirupur district rainfall information,Recommended for having moderate rain today,TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-01T10:40:46.19,
RABI,AGRICULTURE,Others,Others,Government Schemes,Asking about Horticulture department phone number,Recommended for phone number:0421-2213270/ 0421-2216565,TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-01T10:44:35.603,
RABI,AGRICULTURE,Others,Others,Weather,Asking about Weather report for Tirupur,Recommended for today have light rainfall.,TAMILNADU,TIRUPUR,Mulanor,2017-12-01T11:06:24.023,
RABI,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Cultural Practices,asking about groundnut suitable season,recommended for Chithiraipattam April-May suitable for sowing,TAMILNADU,TIRUPUR,Kundadam,2017-12-01T11:11:02.803,
RABI,HORTICULTURE,Plantation Crops,Coconut,Seeds and Planting Material,asking about coconut seedlings availability information,"Recommended for TNAU Coconut Research station, coimbatore contact no. 0422 - 2432484",TAMILNADU,TIRUPUR,Kangyam,2017-12-01T11:25:11.21,
RABI,HORTICULTURE,Plantation Crops,Coconut,Fertilizer Use and Availability,asking about coconut fertilizer management,Recommended for apply urea 300gm+ super phosphate 500gm+ potash 500gm+ neem cake 1kg + farm yard manure 10kg + micro mixture 100gm / tree /,TAMILNADU,TIRUPUR,Kangyam,2017-12-01T11:38:03.77,
RABI,AGRICULTURE,Others,Others,Market Information,Asking about Cocoon market information,Recommended for Coimbatore market price Rs.454-558 /Kg(30.11.17),TAMILNADU,TIRUPUR,Dharapuram,2017-12-01T11:42:50.993,
RABI,AGRICULTURE,Others,Others,Weather,asking about weather report for tirupur district,Recommended for weather report tirupur district have moderate rainfall,TAMILNADU,TIRUPUR,Madathukulam,2017-12-01T11:44:52.92,
NA,AGRICULTURE,Others,Others,Weather,asking about Tirupur today weather Report,Recommended for Tirupur today weather Report : Rather Heavy Rain fall (35.6 â 64.4 mm),TAMILNADU,TIRUPUR,Kangyam,2017-12-01T11:52:24.673,
RABI,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,asking about paddy top dressing fertilizer management,Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg / acre,TAMILNADU,TIRUPUR,Dharapuram,2017-12-01T11:54:45.68,
RABI,AGRICULTURE,Others,Others,Weather,Asking about Thiruppur district rainfall information,Recommended for having moderate rain today,TAMILNADU,TIRUPUR,Dharapuram,2017-12-01T12:30:13.84,
RABI,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,Asking about Coimbatore veterinary contact number,recommended to contact 0422-2669965,TAMILNADU,TIRUPUR,Madathukulam,2017-12-01T12:32:04.583,
RABI,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,Asking about Coimbatore veterinary contact number,recommended to contact 0422-2669965,TAMILNADU,TIRUPUR,Madathukulam,2017-12-01T12:34:08.21,
RABI,AGRICULTURE,Others,Others,Training and Exposure Visits,asking about cow milking machine availability information,"Recommended Veterinary University Training and Research Centre, coimbatore, saravanampatti contact no. 0422 - 2669965",TAMILNADU,TIRUPUR,Palladam,2017-12-01T12:36:11.59,
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather detail in tirupur,recommended for have moderate rain in tirupur,TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-01T13:05:52.827,
RABI,AGRICULTURE,Others,Others,Weather,asking about salem weather report today,Recommended for salem weather report today have light rainfall,TAMILNADU,TIRUPUR,Kangyam,2017-12-01T13:47:44.55,
RABI,HORTICULTURE,Vegetables,Tomato,Plant Protection,asking about Fusarium wilt management in tomato,Recommended for soil drench with carbendazim 2 gram / litre of water,TAMILNADU,TIRUPUR,Tirrpur,2017-12-01T16:29:37.193,
RABI,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,asking about top fertilizer management in paddy,Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg + mn mixture 5 kg /ac,TAMILNADU,TIRUPUR,Madathukulam,2017-12-01T16:42:27.267,
RABI,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,Sowing Time and Weather,Asking about sowing season for sesame,Recommended for sesame sowing season at February - March and June-July,TAMILNADU,TIRUPUR,Madathukulam,2017-12-01T16:46:07.35,
NA,AGRICULTURE,Others,Others,Weather,asking about weather report for tirupur district,Recommended for weather report tirupur district have light rain,TAMILNADU,TIRUPUR,Madathukulam,2017-12-01T17:19:28.86,
NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Nutrient Management,Asking about cotton TNAU foliar application information,Recommended for spray TNAU cotton plus 2.5kg / 200 lit / acre,TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-01T17:50:59.23,
RABI,AGRICULTURE,Others,Others,Weather,asking about Tirupur district today weather Report,Recommended for Tirupur district today weather Report : moderate Rain fall (7.6 â 35.5 mm),TAMILNADU,TIRUPUR,Avanashi,2017-12-01T18:31:58.69,
RABI,AGRICULTURE,Others,Others,Government Schemes,Asking about Mettupalayam forest college contact number,"recommended for the contact number : 04254 - 222398, 04254 â 222010",TAMILNADU,TIRUPUR,Tirrpur,2017-12-01T18:47:07.273,
RABI,AGRICULTURE,Others,Others,Weather,Asking about Weather forecasting for Thiruppur district,"Recommended for Today and tomorrow having cloudy weather and Possibility of light to medium Rainfall chances (Temperature will be 26 degree Celsius (Â°C), Precipitation Chances (80% ) , Humidity level will be (82%)Wind speed of 24 km / hr.",TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-01T19:42:50.95,
RABI,AGRICULTURE,Others,Others,Weather,Asking about thirupur weather Report,Recommended for thirupur today weather Report : Light Rain fall (2.5 â 7.5 mm),TAMILNADU,TIRUPUR,Kundadam,2017-12-01T19:47:38.403,
RABI,AGRICULTURE,Others,Others,Nutrient Management,Asked about five leaf extract preparation,"recommended for calotropis , neem , Adhathoda , ocimum , Ipomea fistulosa- 1 kg each add twice the quantity of water (10 liters), 1 liter of cow urine and 100 gm of asafetida , Allow the extract to sit for one week five leaf extract can be stored and used for a period of 25-30 days",TAMILNADU,TIRUPUR,Tirrpur,2017-12-01T21:09:33.463,
RABI,HORTICULTURE,Fruits,Mango,Plant Protection,Asked about mango die back management,recommended for spray carbendazim 1 gm / litre of water,TAMILNADU,TIRUPUR,Pongalur,2017-12-01T21:15:56.557,
RABI,AGRICULTURE,Others,Others,Weather,Asking about thirupur weather Report,Recommended for thirupur today weather Report : Light Rain fall (2.5 â 7.5 mm),TAMILNADU,TIRUPUR,Udumalaipettai,2017-12-02T07:47:05.987,
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather detail in kankeyam,recommended for have light rain in kankeyam,TAMILNADU,TIRUPUR,Kangyam,2017-12-02T08:12:52.043,
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather detail in kankeyam,recommended for have light rain in kankeyam,TAMILNADU,TIRUPUR,Kangyam,2017-12-02T08:13:25.41,
RABI,AGRICULTURE,Others,Others,Weather,asking about Tirupur today weather Report,Recommended for Tirupur today weather Report : Rather Heavy Rain fall (35.6 â 64.4 mm),TAMILNADU,TIRUPUR,Dharapuram,2017-12-02T08:16:25.68,
NA,AGRICULTURE,Others,Others,Weather,Asking about thirupur weather Report,Recommended for thirupur today weather Report : very Light Rain fall (0.1 â 2.4 mm),TAMILNADU,TIRUPUR,Dharapuram,2017-12-02T08:20:48.573,
RABI,AGRICULTURE,Others,Others,Weather,Asked about weather report information,recommended for today and tommarrow cloudy weather and possibility of less rainfall,TAMILNADU,TIRUPUR,Kangyam,2017-12-02T09:05:19.143,
RABI,HORTICULTURE,Vegetables,Onion,Plant Protection,Asking about Basal rot in onion,Recommended for soil application Trichoderma viride 1kg + FYM 20kg / acre,TAMILNADU,TIRUPUR,Dharapuram,2017-12-02T09:06:02.343,
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),Plant Protection,Asked about cotton leaf curl no pest incidence,,TAMILNADU,TIRUPUR,Kangyam,2017-12-02T09:25:53.42,
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),Plant Protection,Asked about cotton leaf curl no pest incidence,,TAMILNADU,TIRUPUR,Kangyam,2017-12-02T09:25:59.72,
